Date,Time,Source,Street,Tags,Link
10 dicembre 2018,17:43,MilanoToday,Viale Monza,"rapine,furti",https://www.milanotoday.it/zone/loreto/furti-rapine-revoca-compro-oro-viale-monza.html
29 novembre 2018,17:17,MilanoToday,Viale Monza,incidenti,https://www.milanotoday.it/cronaca/incidente-stradale/traffico-tangenziale--nord-oggi.html
26 novembre 2018,12:21,MilanoToday,Viale Monza,incidenti-stradali,https://www.milanotoday.it/cronaca/incidente-stradale/viale-fulvio-testi-26-novembre-2018.html
20 novembre 2018,15:51,MilanoToday,Viale Monza,"rapine,furti,arresti",https://www.milanotoday.it/cronaca/furti-tocomocho-ipnosi-arresti.html
19 novembre 2018,17:46,MilanoToday,Viale Monza,furti,https://www.milanotoday.it/cronaca/furti-auto-lusso-demolitore.html
16 novembre 2018,15:11,MilanoToday,Viale Monza,"incidenti-stradali,morti",https://www.milanotoday.it/attualita/numeri-incidenti-morti.html
12 novembre 2018,12:51,MilanoToday,Viale Monza,"furti,arresti",https://www.milanotoday.it/zone/loreto/precotto/furto-metro-villa-san-giovanni.html
09 novembre 2018,11:51,MilanoToday,Viale Monza,"incidenti-stradali,morti",https://www.milanotoday.it/cronaca/incidente-stradale/monza-cavalcavia-marconi.html
03 novembre 2018,08:27,MilanoToday,Viale Monza,incidenti-stradali,https://www.milanotoday.it/cronaca/incidente-stradale/pirata-strada-besana-chi-e.html
31 ottobre 2018,10:03,MilanoToday,Viale Monza,incidenti-stradali,https://www.milanotoday.it/cronaca/incidente-stradale/morta-incidente-viale-monza.html
29 ottobre 2018,19:10,MilanoToday,Viale Monza,incidenti-stradali,https://www.milanotoday.it/cronaca/incidente-stradale/morta-viale-monza-auto-pirata.html
28 ottobre 2018,14:00,MilanoToday,Viale Monza,incidenti-stradali,https://www.milanotoday.it/cronaca/incidente-stradale/pirata-strada-viale-monza-chi-e.html
27 ottobre 2018,18:04,MilanoToday,Viale Monza,incidenti-stradali,https://www.milanotoday.it/cronaca/incidente-stradale/pirata-strada-loreto-chi-e.html
